id,text,source,timestamp,user_id
1,"Customer loves the new dashboard feature - very intuitive!",support,2025-01-15T10:30:00Z,user_123
2,"Having issues with login after the latest update",support,2025-01-15T11:45:00Z,user_456
3,"Great product, highly recommend to anyone in the industry",review,2025-01-14T09:00:00Z,user_789
4,"The API documentation could use more examples",feedback,2025-01-14T14:20:00Z,user_321
5,"When will the mobile app be available?",inquiry,2025-01-13T16:00:00Z,user_654
6,"Experiencing slow performance during peak hours",support,2025-01-13T12:30:00Z,user_987
7,"Your team provided excellent support, thank you!",feedback,2025-01-12T08:15:00Z,user_111
8,"Is there a way to export data to Excel?",inquiry,2025-01-12T10:00:00Z,user_222
9,"The new pricing tier is very competitive",review,2025-01-11T15:45:00Z,user_333
10,"Found a bug in the reporting module",support,2025-01-11T17:30:00Z,user_444

